ID,Name,URL Name,Address 1,Address 2,City,State,Postal Code,Country,Email Address,Phone Number,Contact Name,Description,Facebook URL,Pinterest URL,Instagram URL,Twitter URL,Yelp URL,Move In Special,Open House
422,Bellevue,bellevue,8135 Sawyer Brown Rd,Suite 705,Bellevue,Tennessee,37221,US,tennesseesola@gmail.com,(615) 481-0706,Amy Tabor,"<p>Sola Salon Studios - Bellevue is conveniently located in One Bellevue Place. Please call Amy at 615.481.0706 or reach her at&nbsp;tennesseesola@gmail.com&nbsp;for more information.</p>
", , , , , ,We are offering a $1000.00 Start up bonus t help you get started. Ask Amy for more details., 
421,Central Park - Fredericksburg,central-park,1889 Carl D. Silver Pkwy , ,Fredericksburg,Virginia,22401,US,jimdebolt@solasalons.com,540-456-1330,Jim ,"<p style=""text-align: center;""><span style=""color:#ff3366;""><span style=""font-size:16px;""><strong>SOLA SALONS AT CENTRAL PARK MARKETPLACE WILL OPEN SPRING of 2018!</strong></span></span></p>

<p style=""text-align: center;""><span style=""color:#ff3366;""><strong><span style=""font-size:16px;"">CALL JIM AT 540-456-1330 TO LEARN MORE</span></strong></span></p>

<p>Sola Salon Studios is COMING SOON to Fredericksburg! &nbsp;Sola provides high-end, move-in ready studios along with the support and tools you need to launch your salon business in no time. Our individual studios are perfect for hair stylists, barbers, estheticians, makeup artists, brow and lash specialists, and massage therapists - we have a variety of studio options to fit your needs. The best part is that in your studio, you completely control the atmosphere. Customize your studio and create an intimate environment that reflects your personal style. Set your own hours with 24/7 access to your studio and enjoy the ideal work/life balance for you. Sell the retail products you love and set your own prices to maximize your income - you keep 100% of your profits from services and retail!&nbsp;</p>

<p>Sola Salon Studios is located at 1889 Carl D. Silver Pkwy in the prestigious Central Park Marketplace located just of 1-95 and Carl D. Silver Pkwy. Central Park Marketplace is home to great restaurants and high-end shopping as part of its over 255 retail establishments. Sola is in close proximity to Bonefish Grill, Qdoba, Five Guys and less than a mile from the Wegman&#39;s Grocery store. This is a perfect, convenient location for salon professionals and their clients.&nbsp;&nbsp; With easy access off of Carl D. Silver Pkwy,&nbsp;plenty of parking, a private break room, and several different types of studios, Sola&#39;s first location in Fredericksburg will&nbsp;fill up quickly!&nbsp; &nbsp;Don&#39;t delay, call 540-456-1330 today to schedule a private, confidential tour.</p>
",https://www.facebook.com/solafredericksburg/, ,https://www.instagram.com/solasalonsfredericksburg/, , , ,Pre-Opening Move-In Specials: First 2 Weeks’ Free Rent; $500 Bonus to Customize Your Studio; $400 Retail Bonus; 3 Months of  Free Insurance Coverage; and Free Painting of Studio Accent Wall.
419,Columbia,columbia,8835 Columbia 100 Parkway, ,Columbia,Maryland,21045,US,solasalons@otacinc.net,4103949370,Southdale Shopping Plaza,"<p>Sola Salon Studios, in Columbia, MD is conveniently located just off Route 100 in the Business Center at Columbia. You&#39;ll love the easy access this location provides for your commute for both you and your clients. You will absolutely love the perfect mix of retailers, restaurants and activities the community provides. You and your clients will enjoy easy access to a beautiful brick building with plenty of parking located directly outside of the front door.</p>

<p>We have now begun to take studio reservations by high-end beauty professionals, so don&#39;t just dream... DO. Become a salon owner today. For more information, call Lindsay at 410.394.9370 or email us at&nbsp;solasalons@otacinc.net.</p>
",https://www.facebook.com/Sola-Salons-of-Columbia-MD-1985969511674402/, , , , ,"Regardless of if you will be starting your business within our high-end facility or simply moving your existing business to Sola Salon Studios... we know there are associated costs. We are happy to support your new business with Sola by providing: 2 Free Weeks Rent, $400 worth of product of your choice and paying for both the labor and material associated with painting your place of business. Spread the word to high-end professionals who are looking for Freedom!", 
418,Little Elm Marketplace,little-elm-marketplace,2705 Little Elm Parkway ,#180 ,Little Elm,Texas,75068,US,freedom@solatx.com,(214) 995-4549,Amber Parker,"<p>Located on&nbsp;NWC FM 423 &amp; FM 720.</p>

<p>&nbsp;</p>

<p>NOW OPEN!!!!!!!!!!!!!!!!!!!</p>

<p>Contact Amber Parker 214.995.4549 to schedule your tour today.</p>

<p>&nbsp;</p>
", , , , , , , 
417,Natick,natick,1400 Worcester Rd., ,Natick,Massachusetts,01760,US,Bostonsola@gmail.com,(617) 600-8202,Pramod Yadav,"<div id="":4"" unselectable=""on"">
<div id="":2"">
<div role=""main"">
<p>Sola Salon Studios is located off of&nbsp;1400 Worcester Rd, Natick, MA&nbsp; and is just a short 30 minute drive from Boston. It is<em> o</em>n&nbsp;Route 9, between Michaels and Legal Seafood <em>restaurant,&nbsp;</em>Bed, Bath and Beyond and Jordan&rsquo;s Furniture. Across from the Natick Mall, walkable distance to Dick&rsquo;s sporting goods and LA fitness,&nbsp;near all the big retailers - the best shopping area in Boston.<em>&nbsp;</em>It has plenty of parking for salon owners and their guests.<em>&nbsp;</em></p>

<p>&nbsp;</p>

<p><em>Our Natick location is beautifully constructed with the independent beauty professional in mind. It features 42&nbsp;individual salon studios, perfect for hair stylists, estheticians, eyebrow artists, barbers, nail techs &nbsp;and a range of other professionals in the cosmetology industry. Studio sizes range in size from single, large and double sizes. They are move-in ready and are equipped with European&nbsp;shampoo bowls, modern design cabinets and soundproof stuiods &mdash; everything you need to open your own salon in no time!</em></p>

<p>&nbsp;</p>

<p><em>We would love to help you achieve your dream of owning your very own salon! We look forward to answering any questions you may have about Sola, as well as scheduling a tour so that you can experience Sola firsthand! </em></p>

<p>If not now, when?</p>
</div>
</div>
</div>
", , ,http://instagram.com/solasalonsnatick, , , , 
415,Fort Washington,fort-washington,9447 N Fort Washington Rd,Suite 102,Fresno,California,93730,US,shay.stevenson@solasalons.com,(559) 500-1979 ext.2,Shay Stevenson,"<p>Located at the intersection of Friant and Fort Washington Rd in the Riverview Shopping Center, Sola Salon Studios is home to an array of Salon Professionals.&nbsp;<br />
*Close to Riverpark Shopping Center *Close to the 41Freeway *Ample parking.&nbsp;<br />
Our Fort Washington location is meticulously constructed with the independent beauty professional in mind. It features 27 individual salon studios, perfect for hair stylists, barbers, estheticians, eyebrow specialists, makeup artists and a range of other professionals in the beauty industry. Studio range from single, large and double sizes. They are move-in ready and are equipped with shampoo bowls, cabinets and shelving fixtures &mdash; everything you need to open your own salon in no time!&nbsp;<br />
Please call Shay Stevenson for more information: (559) 500-1979 ext.2 - Or you may email us at&nbsp;shay.stevenson@solasalons.com</p>
",www.facebook.com/SolaSalonStudiosFresno, ,www.instagram.com/sola_salons_fresno, , ,"1 Week Free Rent
$400 Retail Product Bonus
Free $1m Liability Insurance for 1 year
Free painting of your studio",We are currently 70% Leased Out!!! Schedule a tour today to see what Sola Salons is all about!
414,Pikesville,pikesville,Centre Court 3755 Old Court Road , ,Pikesville,Maryland,21208,US,jimmcevoy@solasalons.com,(410) 929-5336,Jim McEvoy,"<p>Located in the Centre Court shopping center at the intersection of Old Court Road and Reisterstown Road with excellent visability to Old Court Road, enjoy the mix of great local restaurants and popular national chains.</p>
", , , , , , , 
412,Riverside,riverside,3870 Tyler Street, ,Riverside,California,92503,US,solasalonsriverside@gmail.com,(909) 522-1986,TD Karle,"<p>A new and beautiful Sola Salon is under construction and is&nbsp;opening soon on Tyler St. in Riverside, California. We are across from Tyler mall.</p>

<p>Please contact us for an appointment to tour the new site. We are now pre-leasing. Checkout our pre-leasing specials!</p>

<p>&nbsp;</p>
",https://www.facebook.com/timothy.gallagher.1401, , , , ,"Receive up to $1,500 in move-in cash bonuses. Please contact us for details. ", 
411,Sarasota Pavilion,sarasota-pavilion,6515 South Tamiami Trail , ,Sarasota,Florida,34231,US,lindsay@solatampa.com,(941) 308-6830,Lindsay Cox,"<p>Sarasota Pavilion is easily accessible at the intersection of South Tamiami Trail and Stickney Point Road with additional access off Clark Road and Gulf Gate Drive.&nbsp; Our shopping center is home to Publix, Bed Bath &amp; Beyond, Panera, Michaels and Orange Theory.&nbsp; Come join a neighborhood full of great shopping, dining and services including Ruth&rsquo;s Chris Steakhouse, Sarasota Brewing, Stein Mart, New Balance, Stonewood Grill and Heavenly Cupcakes.<br />
We are centrally located for Siesta Key, South Sarasota and Palmer Ranch.&nbsp; Stylists and clients from Gulf Gate Estates, The Landings, Prestancia and Serenoa will find Sarasota Pavilion an ideal location.&nbsp;<br />
Sola Salons Sarasota Pavilion features individual salon studios perfect for hair stylists, cosmetologists, nail techs, eyebrow artists, estheticians, massage therapists, makeup artists and more!&nbsp; Call or email Lindsay today to schedule your confidential tour at (941) 308-6830 or&nbsp;lindsay@solatampa.com&nbsp;or click &ldquo;Rent a Studio&rdquo; above to reserve your studio.<br />
If you are looking for your stylist, please click &ldquo;Find a Salon Professional&rdquo;.</p>
", , , , , , ,Construction is underway at the first ever Sola Salons Sarasota! Pre-opening tours available NOW! Call Lindsay for info and offers (941) 308-6830
410,Anderson Township,anderson-township,454 Beechmont Avenue , ,Cincinnati,Ohio,45255,US,Daniel_Barbour@solasalons.com,(513) 342-4464,Daniel Barbour,"<h4>Sola Salon Studios Cherry Grove is now open in Anderson Township!&nbsp; We are located in the Cherry Grove Shopping Center just north of the Kroger grocery store.&nbsp;&nbsp;Your clients will love the location and its abundance of parking, shopping, and dining options. With easy access, a private break room, and several different types of studios, Sola&#39;s second location in the Cincinnati area will fill up&nbsp;fast! Call (513) 342-4464&nbsp;today for more details, to schedule a confidential tour, and to find out more about our move-in specials!</h4>

<h4>Our Cherry Grove&nbsp;location is beautifully constructed with the independent salon and beauty professional in mind. It features&nbsp;individual salon studios&nbsp;perfect for hair stylists, estheticians, eyebrow artists, barbers, nail technicians&nbsp;and a range of other professionals in the Cincinnati cosmetology community. Studio sizes range in size from single, large and double, which are perfect for sharing. They are move-in ready and equipped with shampoo bowls, cabinets and shelving fixtures &mdash; everything you need to open your own salon in no time!&nbsp; We&nbsp;would love to help you achieve your dream of owning your very own salon and look forward to&nbsp;answering any questions you may have,&nbsp;as well as scheduling&nbsp;a tour of the salon so that you can experience Sola firsthand!&nbsp;</h4>
",https://www.facebook.com/solacherrygrove/, ,https://www.instagram.com/solacherrygrove/, , ,"-  Free rent for your first 3 weeks
- $400 retail bonus for standard studio/$800 retail bonus for double studio
- Free insurance for one year
- Free professional painting of your studio", 
409,Mark Beesley,galleria-fresh-market-center,7500 Jonquil Ct,Suite 101 ,Wilmington,NC,28409,United States,greenvillenc@solasalons.com,8018794864,Amy Eagle,"<p>We do Hair, Skin and Nails at Sola Greenville.&nbsp;Come visit, we&#39;ll pamper you!</p>

<p>Or maybe you&#39;re ready to customize your own salon, create your own schedule, set your own prices and keep all the profits? Don&#39;t just dream, do! Sola Greenville has beautiful move-in ready studios available with the support and tools you need to successfully run&nbsp;your own boutique salon!&nbsp;Give Amy a call at 252-315-0015. At Sola you simply get more!</p>

<p>Sola Greenville is located at 11 Galleria Center, 950 Criswell Drive, Suite 101</p>

<p>We&#39;re next door to Fresh Market and just behind Cheddar&#39;s Scratch Kitchen.</p>

<p>From South Memorial Drive turn west at the light at the South Memorial Drive and Criswell Drive intersection. Head west between Cheddar&#39;s and First Flight Credit Union toward Fresh Market. We&#39;re next door&nbsp;to Fresh Market on the south side. Mall Drive is north of us and Galleria Drive is just west of us.</p>

<p>Nearby retailers include Fresh Market, Dick&rsquo;s Sporting Goods, Hobby Lobby, Academy Sports, Kohl&rsquo;s, Lowe&rsquo;s and Sears.</p>

<p>Great restaurants out front include Cheddar&#39;s Scratch Kitchen, Bonefish Grill and Which Which Superior Sandwiches.</p>
",https://www.facebook.com/SolaSalonsGreenvilleNC/, ,https://www.instagram.com/sola.salon.greenville.nc/, , ,"$400 in product - to set you up selling retail!
2 weeks free rent! 
Custom painting of your studio!
Refer a friend and get another week of free rent!", 
408,Strip District,strip-district,2343 Smallman Street , ,Pittsburgh,Pennsylvania,15222,US,solapittsburgh@gmail.com,(412) 923-3733,Cassie Farkas,"<p>Sola Salon Studios is located centrally in the up and coming Strip District, at 2343 Smallman Street, across from Kelly O&#39;s diner. Our two and three chair salon studios are completely furnished and are available for occupancy and operation. There is ample parking in the covered garage above us. Our salon studios are elegant, modern, light-filled and beautifully maintained.</p>
", , , , , , , 
407,Bakersfield,bakersfield,5701 Young Street , ,Bakersfield,California,93311,US,mirkomarrone2@gmail.com,(661) 282-7912,Mirko Marrone or Daniela Marrone,"<p>Sola Salons is happy to announce our first location in Bakersfield.&nbsp;We are conveniently located at the southwest corner of Harris Road and Gosford Road in the Crossroads Business Park. This location features many studios with windows and ample parking for you and your clients. You&rsquo;ll love having your own business in this state-of-the-art facility surrounded by the perfect mix of beauty professionals.</p>

<p>For more information, call/text Mirko or Daniela at 661.282.7912 or email&nbsp;mirkomarrone2@gmail.com.</p>
",https://www.facebook.com/SolaBakersfield/?hc_ref=ARRLa0flaiQjCkTviBfd5eHploWe-vKmEbggil99kNwQvUyh3rt7AnKyeYBvJNmTdE4&fref=nf, ,https://www.instagram.com/solabakersfield/, , ,"COMING SOON! 
Call now to reserve your studio","OPENING JANUARY 15th!
"
406,Westerville,westerville,89 Westerville Plaza , ,Westerville,Ohio,43081,US,studiogrouppartnersoh@gmail.com,(614) 285-5484,Mike Meilleur,"<p>Sola Salon Studios is COMING SOON to Westerville! &nbsp;Sola provides high-end, move-in ready studios along with the support and tools you need to launch your salon business in no time. Our individual studios are perfect for hair stylists, barbers, estheticians, makeup artists, brow and lash specialists, and massage therapists - we have a variety of studio options to fit your needs. The best part is that in your studio, you completely control the atmosphere. Customize your studio and create an intimate environment that reflects your personal style. Set your own hours with 24/7 access to your studio and enjoy the ideal work/life balance for you. Sell the retail products you love and set your own prices to maximize your income - you keep 100% of your profits from services and retail!&nbsp;</p>

<p>Located approximately one-half mile north of the&nbsp;I-270/State Route 3 interchange, Sola Salon Studios is in the Westerville Plaza.&nbsp;&nbsp;With easy access, plenty of parking, a private break room, and several different types of studios, Sola&#39;s first location in Westerville will&nbsp;fill up fast! &nbsp;Call (614) 289-1407 today for more details, to schedule a confidential tour, and to find out more about our move-in specials!</p>
",https://www.facebook.com/SolaWesterville/, , , , , ,Move-In Specials: Two Weeks of Free Rent; $400 Retail Bonus For Any Products of Your Choice; Free Professional Painting of Your Studio; Free Insurance for One Year; PLUS - $25 Off Weekly Rent for 6 Months if You Sign a Lease Before Our Grand Opening Date! 
405,Brandywine Town Center,brandywine-town-center,5321 Brandywine Parkway, ,Wilmington,Delaware,19803,US,solabrandywine@gmail.com,(302) 283-9216,Jim McBride,"<p>Sola Salon Studios is located off of Route 202 and Route 92 on the Delaware side of the Route 202 shopping corridor and is just 1/4&nbsp;mile south of the Pennsylvania border. It is located in the Brandywine Town Center shopping center, just a few steps away from Trader Joe&rsquo;s, Bed Bath &amp; Beyond and Target along with many other great shops and restaurants. It has plenty of parking for salon owners and their guests.&nbsp;<br />
<br />
Our Brandywine location is beautifully constructed with the independent beauty professional in mind. It features 26 individual salon studios, perfect for hair stylists, estheticians, eyebrow artists, barbers, nail techs and a range of other professionals in the cosmetology industry. Studio sizes range in size from single, large and double sizes. They are move-in ready and are equipped with shampoo bowls, cabinets and shelving fixtures &mdash; everything you need to open your own salon in no time!<br />
<br />
We would love to help you achieve your dream of owning your very own salon! We look forward to answering any questions you may have about Sola, as well as scheduling a tour so that you can experience Sola firsthand!&nbsp;</p>
", , , , , ,"2 Weeks Free Rent,  $400 Retail Bonus ($800 Value),  Custom Painting of Studio,  PA Stylists - reimbursement of DE license transfer fee", 
404,Pelham@85,pelham-at-85,3620 Pelham Road , ,Greenville,South Carolina,29615,US,Terry@SolaCharlotte.com,(704) 995-5400,Brad Riley,"<p>We are excited to announce our first Greenville location &ndash; Pelham@85 shopping center &ndash; anchored by Earth Fare.<br />
Pelham@85 is ideally located just west of I-85 and The Parkway. The center is undergoing a complete renovation and expansion. Pelham@85 is home to exciting new restaurants like Taziki&rsquo;s, The Local Taco, and Chicken Salad Chick. We are a couple of doors down from Bacon Bros Public House. We will see some exciting changes at Earth Fare in the coming months as renovations get underway.<br />
Come visit our neighbors including Pure Barre, Massage Envy, Gigi&rsquo;s Cupcakes, Chick-fil-A, Starbucks, and Mariani&rsquo;s Boutique. We are across the street from Milestone Office Park, Michelin Headquarters&nbsp;and the Greenville Marriott. Come join a neighborhood full of great shopping, dining and services.<br />
We are centrally located for Thornblade Club, Taylors, Simpsonville, and Five Forks. Stylists and clients from Shannon Lake, Greenridge, and Brushy Creek will find Pelham@85 an ideal location.<br />
Stylists and cosmetologists, call Brad today at 704.995.5400 or email at&nbsp;Brad@solaCharlotte.com&nbsp;to reserve your studio.</p>
", , , , , , ,"Curious about Sola Salons?  Call or text Brad for more info (704) 995-5400.  
                            Find out why 10,000 beauty professionals across the nation call Sola Salons home."
403,Monrovia,monrovia,530 W. Huntington Dr. , ,Monrovia,California,91016,US,scott.ditsworth@solasalons.com,(858) 997-4116,Scott Ditsworth,"<p>Sola&nbsp;Monrovia is located in the Huntington Oaks shopping center off Huntington Drive and I-210. Just a short drive from Arcadia, Sierra Madre, Duarte, Pasadena, El Monte, Azusa and Baldwin Park, Huntington Oaks is home to Trader Joe&#39;s, Bed, Bath and Beyond, Marshall&#39;s, Toys&nbsp;R Us,&nbsp;&nbsp;Kohl&#39;s, Chili&#39;s, Panera Bread and many more shops and restaurants. It has plenty of off-street parking for salon owners and their clients.&nbsp;<br />
Our Monrovia location is beautifully constructed with the independent beauty professional in mind. It features 42 individual salon studios perfect for hair stylists, estheticians, eyebrow artists, barbers, nail techs and a range of other professionals in the cosmetology industry. Studio sizes range in size from Standard, Large and Double sizes. They are move-in ready and are equipped with shampoo bowls, cabinets and shelving fixtures &mdash; everything you need to open your own salon!<br />
We would love to help you achieve your dream of owning your very own salon! We look forward to answering any questions you may have about Sola, as well as scheduling a tour so you can experience Sola firsthand!</p>
",https://www.facebook.com/Sola-Salons-Monrovia-1336728979728271/, ,https://www.instagram.com/sola_salons_monrovia/,https://twitter.com/SolaMonrovia, , ,COMING SOON!
